espece;longueur;Poids;Taille;TI;contenu
Dorade;42.5;1.8;21.0;0.04;foie
Dorade;44.0;2.0;21.8;0.05;gonade
Bar;55.2;3.1;27.4;0.08;foie
Bar;57.8;3.4;28.0;;partieAvantGauche
Maquereau;31.5;0.9;15.2;0.03;gonade
Maquereau;33.0;1.1;16.0;0.04;foie
Sardine;18.2;0.2;8.5;0.01;foie
Sardine;19.0;0.3;8.9;0.02;gonade
Merlu;64.5;4.6;32.5;0.11;foie
Merlu;66.0;4.9;33.1;0.12;gonade
Dorade;45.5;2.2;22.4;0.06;foie
Bar;59.0;3.6;29.2;0.09;gonade
Maquereau;34.2;1.2;16.7;0.05;foie
Sardine;20.1;0.3;9.4;;foie
Merlu;67.8;5.1;34.0;0.14;partieAvantGauche
Dorade;46.8;2.4;23.1;0.07;gonade
Bar;60.5;3.8;30.0;0.10;foie
Maquereau;35.6;1.3;17.1;0.06;gonade
Sardine;21.4;0.4;10.0;0.03;foie
Merlu;69.2;5.4;34.8;0.15;foie
Dorade;48.0;2.6;23.7;0.08;foie
Bar;62.1;4.1;30.8;0.12;gonade
Maquereau;36.8;1.4;17.8;0.07;foie
Sardine;22.5;0.4;10.6;0.04;gonade
Merlu;70.4;5.7;35.5;;gonade
Dorade;49.3;2.8;24.5;0.09;gonade
Bar;63.6;4.3;31.5;0.13;foie
Maquereau;38.1;1.5;18.4;0.08;gonade
Sardine;23.6;0.5;11.2;0.05;foie
Merlu;72.0;6.0;36.2;0.17;foie
Dorade;50.7;3.0;25.1;0.10;foie
Bar;65.0;4.6;32.3;0.15;gonade
Maquereau;39.5;1.6;19.0;0.09;foie
Sardine;24.8;0.5;11.8;0.06;gonade
Merlu;73.5;6.3;37.0;0.18;partieAvantGauche
Dorade;52.0;3.2;25.8;;gonade
Bar;66.4;4.9;33.0;0.16;foie
Maquereau;40.8;1.8;19.6;0.10;gonade
Sardine;25.9;0.6;12.4;0.07;foie
Merlu;75.0;6.6;37.8;0.20;gonade
Dorade;53.4;3.4;26.4;0.12;foie
Bar;68.0;5.2;33.8;0.18;gonade
Maquereau;42.0;1.9;20.2;0.11;foie
Sardine;27.1;0.7;13.0;0.08;gonade
Merlu;76.6;6.9;38.5;0.21;foie
Dorade;54.8;3.6;27.0;0.13;gonade
Bar;69.5;5.5;34.6;;foie
Maquereau;43.4;2.0;20.9;0.12;gonade
Sardine;28.2;0.8;13.6;0.09;foie
Merlu;78.0;7.2;39.3;0.23;gonade
Dorade;56.1;3.8;27.7;0.14;foie
Bar;71.0;5.8;35.4;0.21;gonade
Maquereau;44.8;2.2;21.5;0.13;foie
Sardine;29.4;0.8;14.2;0.10;gonade
Merlu;79.5;7.5;40.0;0.24;foie
Dorade;57.5;4.0;28.3;0.15;gonade
Bar;72.4;6.1;36.1;0.22;foie
Maquereau;46.0;2.3;22.1;0.14;gonade
Sardine;30.5;0.9;14.8;;foie
Merlu;81.0;7.8;40.7;0.26;gonade
