"nom.merlu,m.size (mm),number of Anisakis sp L3,m.d15N (�),m.d13C (�),m.C/N,m.MeHg (ng g-1 dw),m.IHg (ng g-1 dw),m.THg (ng g-1 dw),m.PCB 101 (ng g-1 dw),m.PCB 118 (ng g-1 dw),m.PCB 138 (ng g-1 dw),m.PCB 149 (ng g-1 dw),m.PCB 153 (ng g-1 dw),m.PCB 180 (ng g-1 dw),m.PCB 194 (ng g-1 dw),m.HHCB (ng g-1 dw),m.AHTN (ng g-1 dw),m.EHMC (ng g-1 dw),,a.d15N (�),a.d13C (�),a.CN,a.MeHg (ng g-1 dw),a.IHg (ng g-1 dw),a.THg (ng g-1 dw),a.PCB 101 (ng g-1 dw),a.PCB 118 (ng g-1 dw),a.PCB 138 (ng g-1 dw),a.PCB 149 (ng g-1 dw),a.PCB 153 (ng g-1 dw),a.PCB 180 (ng g-1 dw),a.PCB 194 (ng g-1 dw),a.HHCB (ng g-1 dw),a.AHTN (ng g-1 dw),a.OC (ng g-1 dw)"
"150318 HKE01,425,237,13.36,-18.23,3.10,610.21,244.26,854.48,2.85,1.59,28.78,9.10,32.84,22.60,3.40,1.26,<LOQ,<LOQ,,10.84,-19.32,5.88,67.69,8.57,76.26,18.26,10.74,45.90,17.54,41.19,32.64,<LOQ,<LOQ,<LOQ,83.21"
"150318 HKE08,527,276,13.44,-18.22,3.15,749.39,1110.64,1860.03,3.25,1.32,27.91,8.73,34.12,22.66,1.73,0.19,<LOQ,<LOQ,,11.57,-18.74,5.01,77.88,14.85,92.73,11.56,6.56,31.88,15.19,37.80,21.68,<LOQ,3.38,2.31,63.30"
"150318 HKE09,540,454,13.53,-17.99,3.11,796.23,299.18,1095.40,3.74,3.39,25.72,9.04,32.81,13.87,2.80,1.09,0.11,<LOQ,,11.13,-18.69,5.23,86.01,16.39,102.40,10.74,9.06,63.45,22.81,73.25,47.00,<LOQ,1.96,<LOQ,36.78"
"040418 HKE01,556,425,13.36,-17.88,3.16,706.35,384.91,1091.26,1.62,0.11,13.95,4.55,15.13,10.95,<LOQ,0.05,<LOQ,<LOQ,,12.29,-18.47,4.94,118.68,15.39,134.07,5.43,3.88,19.68,7.74,18.73,13.00,<LOQ,0.90,<LOQ,19.73"
"040418 HKE03,511,262,13.24,-18.34,3.08,708.45,259.47,967.92,1.08,<LOQ,11.05,4.18,13.94,7.85,1.07,0.86,<LOQ,3.08,,9.96,-18.59,6.02,32.86,15.24,48.10,<LOQ,8.31,28.31,11.53,18.41,15.25,<LOQ,11.53,<LOQ,<LOQ"
"040418 HKE06,510,347,13.59,-17.87,3.14,583.26,312.72,895.97,2.00,2.32,16.15,5.81,20.52,11.08,0.59,0.58,<LOQ,<LOQ,,11.46,-19.26,4.81,71.98,13.23,85.21,8.65,7.92,39.19,11.83,36.33,28.50,<LOQ,7.17,0.24,30.10"
"040418 HKE10,555,345,13.64,-17.96,3.20,828.50,581.96,1410.46,1.19,0.96,6.72,2.30,9.14,4.10,<LOQ,0.25,0.09,<LOQ,,11.35,-18.94,5.50,123.11,23.08,146.19,9.50,2.49,18.92,8.16,15.67,12.49,<LOQ,0.99,0.73,26.90"
"160418 HKE03,590,397,14.26,-17.87,3.19,991.83,396.32,1388.15,2.36,<LOQ,15.64,4.84,20.76,12.62,<LOQ,0.02,<LOQ,<LOQ,,10.91,-18.98,5.79,122.77,27.42,150.19,11.40,9.36,60.72,21.10,68.04,39.60,<LOQ,<LOQ,0.17,16.01"
"160418 HKE05,575,499,13.79,-17.93,3.17,1209.66,1491.93,2701.58,1.15,1.35,9.33,2.11,13.47,7.33,<LOQ,0.39,<LOQ,0.29,,11.49,-18.75,5.54,202.55,64.82,267.37,6.32,5.21,31.50,12.86,41.57,26.52,<LOQ,<LOQ,<LOQ,12.61"
"160418 HKE08,610,2066,14.4,-17.55,3.14,2456.73,833.58,3290.30,1.94,1.21,24.50,6.30,33.17,23.28,2.63,1.29,<LOQ,3.07,,12.89,-18.24,4.59,503.56,59.83,563.39,12.29,10.52,74.14,24.62,93.68,54.15,<LOQ,<LOQ,<LOQ,10.89"
"160418 HKE09,602,537,14.1,-17.97,3.24,833.18,320.00,1153.18,3.12,2.03,31.39,9.09,35.03,23.13,<LOQ,1.25,<LOQ,<LOQ,,11.92,-19.83,6.08,96.04,14.01,110.05,22.11,18.89,126.91,49.14,161.82,84.36,<LOQ,<LOQ,<LOQ,4.94"
"280518 HKE02,560,716,13.6,-17.96,3.10,1288.12,680.38,1968.50,1.70,1.34,11.65,3.91,14.48,6.48,<LOQ,1.96,0.38,<LOQ,,11.74,-19.7,5.88,128.83,65.66,194.49,84.99,191.78,658.97,248.32,927.74,550.85,<LOQ,<LOQ,<LOQ,8.43"
"280518 HKE06,558,240,13.58,-17.87,3.15,899.55,205.84,1105.39,1.34,<LOQ,12.26,3.33,13.37,8.85,<LOQ,0.21,<LOQ,<LOQ,,12.03,-18.93,4.94,379.57,141.25,520.82,15.95,7.64,32.87,13.57,34.64,22.30,<LOQ,5.78,1.66,<LOQ"
"300518 HKE08,510,202,13.67,-17.87,3.16,811.80,326.93,1138.73,1.53,2.09,12.76,3.47,16.22,8.30,<LOQ,1.27,0.27,3.65,,12.41,-20.08,5.48,732.73,59.41,792.14,16.62,8.53,56.04,19.60,45.14,33.80,<LOQ,0.63,<LOQ,<LOQ"
