Espèce,Paramètre,Total,2012,2013,2014
Trachurus symmetricus murphyi,N,105,40,30,35
Trachurus symmetricus murphyi,Longueur moyenne ± SD (cm),34.83 ± 2.32,34.5 ± 2.29,35.5 ± 2.3,34.5 ± 2.2
Trachurus symmetricus murphyi,Poids moyen ± SD (g),325.78 ± 54.71,318.5 ± 52.71,341.93 ± 56.28,319.98 ± 52.08
Trachurus symmetricus murphyi,Prévalence (%),64.76,62.5,70,62.86
Trachurus symmetricus murphyi,IC 95%,55.47-74.05,46.82-78.18,52.60-87.40,46.02-79.70
Trachurus symmetricus murphyi,Intensité moyenne (étendue),4.77 (1-10),4.72 (1-10),4.67 (1-9),4.95 (2-10)
Trachurus symmetricus murphyi,Abondance moyenne,3.1,2.95,3.27,3.11
Merluccius gayi peruanus,N,85,28,32,25
Merluccius gayi peruanus,Longueur moyenne ± SD (cm),39.17 ± 2.64,38.5 ± 2.17,39.5 ± 1.87,39.3 ± 2.59
Merluccius gayi peruanus,Poids moyen ± SD (g),459.17 ± 95.28,431.02 ± 73.98,465.09 ± 67.51,459.17 ± 92.59
Merluccius gayi peruanus,Prévalence (%),77.65,78.57,75,80
Merluccius gayi peruanus,IC 95%,68.61-86.69,62.37-94.77,59.14-90.86,63.15-96.85
Merluccius gayi peruanus,Intensité moyenne (étendue),3.7 (1-7),3.86 (1-7),3.83 (1-7),3.35 (2-7)
Merluccius gayi peruanus,Abondance moyenne,2.87,3.04,2.88,2.68
Seriolella violacea,N,75,26,24,25
Seriolella violacea,Longueur moyenne ± SD (cm),41 ± 3.89,39 ± 2.58,41.5 ± 2.87,42.5 ± 2.67
Seriolella violacea,Poids moyen ± SD (g),3895 ± 369.97,3705 ± 245.29,3942.5 ± 272.87,4037.5 ± 271.96
Seriolella violacea,Prévalence (%),22.67,26.92,16.67,24
Seriolella violacea,IC 95%,12.97-32.36,8.65-45.19,0.59-32.74,6.00-41.99
Seriolella violacea,Intensité moyenne (étendue),9.88 (1-48),6 (1-10),8.5 (7-10),15.33 (7-48)
Seriolella violacea,Abondance moyenne,2.24,1.62,1.42,0
Scomber japonicus peruanus,N,100,37,33,30
Scomber japonicus peruanus,Longueur moyenne ± SD (cm),33 ± 2.74,32.5 ± 2.31,32.5 ± 1.71,33.5 ± 2.05
Scomber japonicus peruanus,Poids moyen ± SD (g),315.58 ± 84.15,309.18 ± 62.42,308.68 ± 46.46,336.98 ± 64.81
Scomber japonicus peruanus,Prévalence (%),45,48.65,45.45,40
Scomber japonicus peruanus,IC 95%,35.08-54.92,31.75-65.54,27.52-63.38,21.39-58.61
Scomber japonicus peruanus,Intensité moyenne (étendue),4.91 (1-9),4.72 (1-9),4.87 (2-8),5.25 (2-9)
Scomber japonicus peruanus,Abondance moyenne,2.21,2.3,2.21,2.1
Merlue,
