Sample_code;Station;Latitude;Longitude;Depth;d13C_raw;d13C_corr;d15N;C_N;StandardLength;TrophicLevel;Anisakis_abdominalcavity;Anisakis_Liver;Anisakis_gonads;Anisakis_stomach;NParasitesViscera;Anisakis_Muscle_Right;Anisakis_Muscle_Left;Aniskis_Muscle_total;NParasitesTotal
TRACTRA_S0575_A0439;S0575;48.8692264;-4.3976635;96.84;-20.09735065;-19.14374028;12.52361179;4.316778148;257;3.117572211;7;1;0;1;9;1;3;4;13
TRACTRA_S0575_A0440;S0575;48.8692264;-4.3976635;96.84;-20.02738845;-19.42703789;12.25444555;3.959950061;252;3.038405671;263;5;0;21;289;12;11;23;312
TRACTRA_S0575_A0441;S0575;48.8692264;-4.3976635;96.84;-19.82735569;-18.83090708;12.97020596;4.360049101;254;3.248923438;51;1;12;1;65;2;3;5;70
TRACTRA_S0575_A0442;S0575;48.8692264;-4.3976635;96.84;-19.37802102;-18.26777864;13.43393806;4.4749923;242;3.385315231;158;6;0;1;165;9;19;28;193
TRACTRA_S0575_A0443;S0575;48.8692264;-4.3976635;96.84;-18.20541518;-18.20541518;12.68793425;3.369189318;254;3.165902347;67;1;10;1;79;1;6;7;86
TRACTRA_S0575_A0444;S0575;48.8692264;-4.3976635;96.84;-20.21559661;-18.91007641;12.62442312;4.672242625;251;3.147222601;140;1;0;0;141;3;6;9;150
TRACTRA_S0575_A0445;S0575;48.8692264;-4.3976635;96.84;-19.43517323;-19.13886211;11.25439721;3.65283952;258;2.744273805;281;5;0;3;289;1;8;9;298
TRACTRA_S0575_A0446;S0575;48.8692264;-4.3976635;96.84;-19.98304621;-19.35255493;11.69796704;3.990395229;250;2.87473552;113;2;6;5;126;2;9;11;137
TRACTRA_S0575_A0447;S0575;48.8692264;-4.3976635;96.84;-19.4952816;-18.88631609;11.96007648;3.968652028;244;2.951826533;81;2;0;0;83;0;3;3;86
TRACTRA_S0575_A0448;S0575;48.8692264;-4.3976635;96.84;-19.94560166;-19.34814395;11.90664648;3.957027986;244;2.936111826;182;0;1;4;187;10;20;30;217
TRACTRA_S0577_A0454;S0577;49.2061879;-4.3343404;94.02;-19.0301808;-18.69065175;12.62744746;3.696493987;230;3.212854832;23;0;0;1;24;0;0;0;24
TRACTRA_S0577_A0455;S0577;49.2061879;-4.3343404;94.02;-20.15942978;-19.22294902;12.21916159;4.299475509;247;3.092770753;53;0;0;1;54;4;6;10;64
TRACTRA_S0577_A0456;S0577;49.2061879;-4.3343404;94.02;-21.11919287;-19.10756928;13.20207201;5.38547838;250;3.381862053;11;0;0;1;12;0;3;3;15
TRACTRA_S0577_A0457;S0577;49.2061879;-4.3343404;94.02;-20.47770851;-19.25004326;11.60824496;4.593601258;264;2.913089392;72;7;0;3;82;3;7;10;92
TRACTRA_S0577_A0458;S0577;49.2061879;-4.3343404;94.02;-18.80551346;-18.80551346;11.29371363;3.405172632;258;2.820580176;18;2;0;5;25;0;4;4;29
TRACTRA_S0577_A0459;S0577;49.2061879;-4.3343404;94.02;-18.55424078;-18.55424078;11.99334422;3.368856741;268;3.02635388;3;0;2;0;5;0;1;1;6
TRACTRA_S0577_A0460;S0577;49.2061879;-4.3343404;94.02;-20.65507746;-18.90565571;12.2504131;5.120628022;244;3.101962374;5;0;0;0;5;0;0;0;5
TRACTRA_S0577_A0461;S0577;49.2061879;-4.3343404;94.02;-20.2747196;-19.30665873;13.06496861;4.331374612;236;3.341537523;18;0;0;0;18;1;1;2;20
TRACTRA_S0577_A0462;S0577;49.2061879;-4.3343404;94.02;-20.4373078;-19.16897407;12.28972952;4.634680534;258;3.113526026;46;0;0;0;46;0;9;9;55
TRACTRA_S0577_A0463;S0577;49.2061879;-4.3343404;94.02;-19.45685166;-19.11472538;12.60426085;3.699117451;251;3.206035242;106;0;0;3;109;6;19;25;134
TRACTRA_S0754_A0805;S0754;49.6547785;-0.1474217;37.3;-17.83990445;-17.83990445;13.08890102;3.215085281;166;3.453596065;0;0;0;0;0;0;0;0;0
TRACTRA_S0754_A0806;S0754;49.6547785;-0.1474217;37.3;-20.15486746;-18.67023918;12.91860136;4.853159877;166;3.403507929;1;0;0;0;1;0;0;0;1
TRACTRA_S0754_A0807;S0754;49.6547785;-0.1474217;37.3;-18.26558775;-18.26558775;12.73923249;3.355335311;162;3.350752377;4;1;0;1;6;0;0;0;6
TRACTRA_S0754_A0808;S0754;49.6547785;-0.1474217;37.3;-18.30726304;-18.09681562;13.04657803;3.566108505;169;3.441148126;0;0;0;0;0;0;0;0;0
